Name,Gender,College Name,City,Stream,Monthly Average Family Income,Which Functional Area do you want to work in ?,What is most important for you while opting for your first job?,If you are already an employee are you happy with your new job ?,What factors make you most unhappy at a job?,What factors make you Happy with a job?,What are the Areas in which you did your internship ?,How much salary would you expect if you are hired for a job?,"If you find a Job that you are looking for, Relocating to a new place for Job is a problem for you ?",Which City you would prefer to work in ?,What perks you would like in your First Job ?,How much time do you spend on your Mobile everyday ?,What channels would you use looking for Jobs ?,"Will you be willing to work for a different industry if you get a Job?  (for example, you are from engineering and would you work in FInance ?)",What Industry you would prefer to work in ?,Are you interested to work on creating a startup ?,"If yes, what area you would want a startup?"
SURVID-0,Male,Vardhaman college of engineering,Hyderabad,Engineering,"Less than 10,000",IT & Software,Job Role,,"Low Pay, Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities, Recognition",Data Science,"30,000 - 40,000",No,Any where,,More than 3 Hours,None,No,IT & Software,Yes,
SURVID-1,Female,Vardhaman college of engineering,Hyderabad,Engineering,"50,000 - 1,00,000","IT & Software, HR",Job Role,,"Low Pay, Lack of opportunity to grow, Lack of recognition",Growth oppurtunities,,"30,000 - 40,000",No,"Hyderabad, Bangalore,Pune, Chennai",,1 - 3 Hours,"Linkedin, Internshala",Yes,IT & Software,Yes,Education
SURVID-2,Male,Regency college of hotel management and catering technology ,Hyderabad ,Arts,"10,000 - 50,000","HR, Chef ",Job Role,,Lack of recognition,High pay,Hotel management ,"30,000 - 40,000",No,Paris,Sportive ,More than 3 Hours,Linkedin,Yes,Marketing,Yes,Financial Sector
SURVID-3,Female,"V.S.M. college of engineering,Ramachandrapuram.",Rajahmundry,Engineering,"Less than 10,000","ece (core job), hardware",Chance to work on new Projects,,"Lack of opportunity to grow, Lack of recognition",Growth oppurtunities,Networking and communication systems,"20,000 - 30,000",Yes,"hyderabad, pune, bangalore....",no expectations....,1 - 3 Hours,"Linkedin, Naukri, Indeed, Internshala, monster",No,manufacturing and designing the IC's,Yes,Media Sector
SURVID-4,Female,Vsm college of engineering ,Ramachandhrapuram,Engineering,"10,000 - 50,000",IT & Software,Job Role,Yes,Lack of opportunity to grow,Growth oppurtunities,Mobile communication ,"30,000 - 40,000",No,Hyderabad ,To encourage me for growing with new opportunities ,1 - 3 Hours,"Naukri, Internshala",No,IT & Software,Yes,AI
SURVID-5,Male,,Hyderabad,Engineering,"Greater than 1,00,00",,Job Role,,"Low Pay, Lack of opportunity to grow","Growth oppurtunities, Recognition",Data Science,"50,000 - 1,00,000",No,,,,,,,,
SURVID-6,Female,,Hyderabad,Commerce,"Greater than 1,00,00",Finance,Job Role,,,,Finance,"Greater than 1,00,000",Yes,,,More than 3 Hours,,,,,
SURVID-7,Female,Mallareddy Engineering college for women's,Hyderabad,Engineering,"Less than 10,000",IT & Software,Job Role,,Lack of recognition,Growth oppurtunities,No,"Greater than 1,00,000",No,Hyderabad,,More than 3 Hours,Internshala,Yes,IT & Software,Yes,Education
SURVID-8,Male,Y. N. Degree college,NARSAPURAM,Science,"10,000 - 50,000",Medical stream,Job Role,Yes,"Low Pay, Lack of recognition","Growth oppurtunities, Recognition",Customer Service ,"20,000 - 30,000",No,VISAKHAPATNAM ,,1 - 3 Hours,Individual websites ,Yes,Healthcare,Yes,Healthcare Sector
SURVID-9,Female,Vsm college of engineering ,Kakinada ,Engineering,"10,000 - 50,000",IT & Software,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,Telecommunications ,"40,000 - 50,000",Yes,Hyderabad ,"Health insurance, flexible schedule ",More than 3 Hours,Naukri,No,IT & Software,No,AI
SURVID-10,Female,Vsm college of engineering ,Draksharama,Engineering,"10,000 - 50,000",IT & Software,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,Telecommunications ,"40,000 - 50,000",Yes,Hyderabad ,"Employee development programmes, health insurance ",More than 3 Hours,Naukri,No,IT & Software,Yes,
SURVID-11,Female,siddhartha institute of science and technology,Hyderabad,Engineering,"Less than 10,000",IT & Software,Job Role,,Lack of opportunity to grow,Growth oppurtunities,Data Science,"20,000 - 30,000",Yes,hyderabad,,Less than 1 Hour,Internshala,Yes,IT & Software,Yes,Education
SURVID-12,Male,Vardhaman,Hyderabad,Engineering,"10,000 - 50,000",,Salary,Yes,Lack of opportunity to grow,Growth oppurtunities,Market,"Greater than 1,00,000",Yes,Hyderabad,,1 - 3 Hours,Linkedin,,,Yes,
SURVID-13,Male,Vardhaman College of Engineering ,Hyderabad ,Engineering,"10,000 - 50,000",IT & Software,Chance to work on new Projects,,"Lack of opportunity to grow, High Work Load","Growth oppurtunities, Recognition",Data Science,"40,000 - 50,000",No,Hyderabad ,,More than 3 Hours,"Linkedin, Internshala",Yes,IT & Software,Yes,AI
SURVID-14,Female,Vardhaman College of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Job Role,,"Low Pay, Lack of recognition","High pay, Growth oppurtunities",,"50,000 - 1,00,000",No,Hyderabad,,1 - 3 Hours,"Linkedin, Internshala",No,IT & Software,Yes,E-Commerce
SURVID-15,Male,Vardhaman college of engineering ,Hyderabad ,Engineering,"10,000 - 50,000",IT & Software,Job Role,,"Low Pay, Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities, Recognition",Data Science,"10,000 - 20,000",No,Hyderabad ,,1 - 3 Hours,"Linkedin, Naukri, Indeed, Glassdoor",Yes,Media,Yes,Financial Sector
SURVID-16,Female,Vardhaman College of Engineering ,Hyderabad,Engineering,"50,000 - 1,00,000","IT & Software, HR",Chance to work on new Projects,,,,Web development ,"30,000 - 40,000",Yes,HYDERABAD,,More than 3 Hours,"Linkedin, Internshala",,IT & Software,No,
SURVID-17,Male,Vardhaman College of Engineering.,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Job Role,,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition",,"30,000 - 40,000",No,Hyderabad,,Less than 1 Hour,"Linkedin, Internshala",No,IT & Software,No,
SURVID-18,Male,Vardhaman college of engineering ,Hyderabad ,Engineering,"50,000 - 1,00,000",IT & Software,Job Role,,"Lack of opportunity to grow, Lack of recognition, High Work Load","Growth oppurtunities, Recognition",Data Science,"40,000 - 50,000",Yes,Hyderabad ,,1 - 3 Hours,"Linkedin, Naukri, Internshala",Yes,IT & Software,Yes,E-Commerce
SURVID-19,Male,Vardhaman college of engineering,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,Data Science,"30,000 - 40,000",No,Hyderabad,,1 - 3 Hours,"Linkedin, Internshala",No,IT & Software,Yes,Education
